Time,Line,Dir,Occupation,TypeS,TypeV,Remarks,
08:43,312,E,-,D,C,-,
08:43,337,E,-,D,S,-,
08:43,332,E,-,N,S,-,
08:45,145,E,-,N,S,-,
08:45,341,E,-,N,S,-,
08:46,312,E,-,N,S,-,
08:47,331,E,-,N,S,-,
08:49,90,W,-,N,S,-,
08:49,63,W,-,N,S,-,
08:49,63,E,-,D,S,-,
08:50,333,W,0.8,N,S,-,
08:50,331,W,0.6,N,S,-,
08:50,351,E,0.2,N,S,-,
08:50,337,E,0.5,N,S,-,
08:50,334,E,0.2,N,S,-,
08:50,352,W,0.8,N,S,-,
08:51,341,W,0.6,N,S,-,
08:51,332,W,0.7,N,S,-,
08:53,326,W,-,N,S,-,
08:54,90,W,0.4,N,S,-,
08:54,333,W,0.6,N,S,-,
08:55,312,W,0.7,N,C,-,
08:56,63,E,0.1,N,S,-,
08:56,331,E,0.3,N,S,-,
08:57,90,W,0.2,N,S,-,
08:57,334,W,0.6,N,S,-,
08:57,341,W,0.7,N,S,-,
08:58,145,W,0.9,N,S,-,
09:00,312,E,0.5,N,O,-,
09:00,333,W,1,N,S,-,
09:00,341,E,0.2,N,S,-,
09:00,326,E,0.2,N,S,-,
09:02,63,W,0.3,N,S,-,
09:02,331,W,0.2,N,S,-,
09:02,339,E,0.1,N,S,-,
09:04,334,E,0.7,N,S,-,
09:04,313,E,0.2,N,S,-,
09:04,334,W,0.8,N,S,-,
09:04,145,W,0.5,N,S,-,
09:05,332,W,0.6,N,S,-,
09:05,313,W,0.6,N,S,-,
09:05,312A,E,0.3,N,S,-,
09:05,339,W,0.2,N,S,-,
09:06,353,W,0.2,N,S,-,
09:06,312,E,-,D,C,-,
09:06,63,W,0.4,N,S,-,
09:06,X,E,-,D,S,Possible312/312A/313/326
09:07,333,E,0.6,N,S,-,
09:07,145,E,0.5,N,S,-,
09:08,63,E,0.1,N,S,-,
09:08,332,E,0.2,N,S,-,
09:09,351,W,0.6,N,S,-,
09:09,331,E,0.2,N,S,-,
09:09,X,W,0.3,N,S,Possible336/337,
09:09,352,W,0.5,N,S,-,
09:12,63,W,0.5,N,S,-,
09:12,312,E,-,D,S,-,
09:12,333,W,0.6,N,S,-,
09:14,331,W,0.5,N,S,-,
09:14,312,E,0.5,N,S,-,
09:14,336,E,0.2,N,S,-,
09:14,341,E,0.2,N,S,-,
09:14,352,E,0.1,N,S,-,
09:16,X,W,-,D,S,Possible331/332/333/334,
09:16,145,E,-,G,S,-,
09:16,90,W,0.4,N,S,-,
09:16,341,W,-,N,S,-,
09:16,334,E,0.2,N,S,-,
09:16,145,W,0.9,N,S,-,
09:17,X,E,-,D,S,Possible331/332/333/334,
09:17,312,W,0.4,N,S,-,
09:18,312A,W,0.2,N,S,-,
09:20,63,W,0.4,N,S,-,
09:20,145,E,0.2,N,S,-,
09:21,63,E,0.3,N,S,-,
09:21,90,E,0.8,N,S,-,
09:21,334,W,0.3,N,S,-,
09:21,331,E,0.3,N,S,-,
09:21,145,W,0.7,N,S,-,
09:22,63,E,0.2,N,S,-,
09:22,333,W,0.2,N,S,-,
09:25,334,E,0.3,N,S,-,
09:25,63,W,0.6,N,S,-,
09:25,145,W,0.5,N,S,-,
09:25,339,E,-,N,S,-,
09:25,339,W,-,N,S,-,
09:25,X,W,-,N,S,Possible351/352/353,
09:26,332,W,0.4,N,S,-,
09:29,341,W,-,N,S,-,
09:29,90,W,0.1,N,S,-,
09:30,341,E,0.2,N,S,-,
09:31,90,E,0.4,N,S,-,
09:31,332,W,0.8,N,S,-,
09:31,63,W,0.3,N,S,-,
09:31,145,E,0.2,N,S,-,
09:32,331,E,0.7,N,S,-,
09:33,331,W,-,N,S,-,
09:33,334,W,-,N,S,-,
09:33,313,E,0.2,N,S,-,
09:33,333,E,0.1,N,S,-,
09:35,145,W,0.1,N,S,-,
09:35,334,W,0.7,N,S,-,
09:35,312,E,0.2,N,S,-,
09:35,313,W,-,N,S,-,
09:35,333,W,0.2,N,S,-,
09:35,337,E,0.6,N,S,-,
09:35,63,E,0,N,S,-,
09:36,90,W,-,N,S,-,
09:36,334,E,0.2,N,S,-,
09:36,X,W,-,D,S,Possible336/337,
09:36,312,W,-,N,O,-,
09:36,332,W,-,N,S,-,
09:36,337,W,0.3,N,S,-,
09:39,331,W,0.2,N,S,-,
09:39,90,E,0.5,N,S,-,
09:39,63,E,-,G,S,-,
09:41,336,W,0.7,N,S,-,
09:41,341,W,0.1,N,S,-,
09:41,X,E,-,D,S,Possible336/337,
09:41,54,W,-,D,S,-,
09:42,312A,W,0.2,N,S,-,
09:42,63,W,0.1,N,S,-,
09:42,333,W,0.5,N,S,-,
09:42,63,E,0.2,N,S,-,
09:44,332,E,0.5,N,S,-,
09:44,312,E,0.2,N,S,-,
09:45,145,W,0.4,N,S,-,
09:46,333,E,0.2,N,S,-,
09:46,336,E,-,D,S,-,
09:46,145,E,0.9,N,S,-,
09:46,337,E,-,D,S,-,
09:48,331,E,0.6,N,S,-,
09:48,341,E,-,D,S,-,
09:48,144,E,-,G,S,-,
09:49,142,E,-,G,S,-,
09:50,337,W,-,N,S,-,
09:51,334,E,0.3,N,S,-,
09:51,339,E,0.2,N,S,-,
09:51,337,E,-,N,S,-,
09:51,63,W,0.4,N,S,-,
09:51,90,W,0.1,N,S,-,
09:51,145,W,0.2,N,S,-,
09:52,333,E,0.3,N,S,-,
09:52,312,W,0.4,N,S,-,
09:54,63,E,0.2,N,S,-,
09:54,63,W,0.2,N,S,-,
09:54,332,W,-,N,S,-,
09:54,312,E,0.1,N,O,-,
09:56,334,W,-,N,S,-,
09:56,341,W,-,N,S,-,
09:56,19,E,-,G,S,-,
09:56,326,W,0.4,N,O,-,
09:56,331,E,0.3,N,S,-,
09:57,351,W,0.5,N,S,-,
09:57,337,W,-,D,S,-,
09:57,145,W,0.6,N,S,-,
09:57,312,E,-,D,S,-,
09:57,90,E,0.4,N,S,-,
09:58,337,E,-,D,S,-,
10:00,X,E,-,D,S,Possible331/332/333/334,
10:01,333,W,0.2,N,S,-,
10:01,332,E,0.3,N,S,-,
10:01,334,W,-,N,S,-,
10:02,331,W,-,N,S,-,
10:02,334,E,0.3,N,S,-,
10:03,54,E,-,D,S,-,
10:03,341,E,-,D,S,-,
10:04,341,E,0.2,N,S,-,
10:04,313,E,0.1,N,S,-,
10:04,326,E,0.1,N,S,-,
10:05,312A,E,0.2,N,S,-,